session_id,event_type,timestamp,page,event_data
session_1761945339854_4agjst254,time_update,2025-10-31T21:29:26.643Z,podium,"{""timeOnPage"": 30, ""totalTime"": 141}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:29:31.879Z,podium,"{""timeOnPage"": 30, ""totalTime"": 258}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:29:36.529Z,podium,"{""timeOnPage"": 30, ""totalTime"": 135}"
session_1761945339854_4agjst254,page_visible,2025-10-31T21:29:38.511Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:29:51.392Z,podium,"{""timeOnPage"": 13, ""totalTime"": 271}"
session_1761945339854_4agjst254,page_hidden,2025-10-31T21:29:51.395Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:29:57.239Z,podium,"{""timeOnPage"": 31, ""totalTime"": 172}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:30:01.891Z,podium,"{""timeOnPage"": 10, ""totalTime"": 281}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:30:06.542Z,podium,"{""timeOnPage"": 30, ""totalTime"": 165}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:30:18.833Z,podium,"{""timeOnPage"": 60, ""totalTime"": 1023}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:30:27.460Z,podium,"{""timeOnPage"": 30, ""totalTime"": 202}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:30:31.901Z,podium,"{""timeOnPage"": 30, ""totalTime"": 311}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:30:36.533Z,podium,"{""timeOnPage"": 30, ""totalTime"": 195}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:30:57.505Z,podium,"{""timeOnPage"": 30, ""totalTime"": 232}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:31:02.151Z,podium,"{""timeOnPage"": 30, ""totalTime"": 341}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:31:18.542Z,podium,"{""timeOnPage"": 42, ""totalTime"": 237}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:31:18.542Z,podium,"{""timeOnPage"": 60, ""totalTime"": 1082}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:31:27.762Z,podium,"{""timeOnPage"": 30, ""totalTime"": 262}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:31:32.226Z,podium,"{""timeOnPage"": 30, ""totalTime"": 371}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:31:57.770Z,podium,"{""timeOnPage"": 30, ""totalTime"": 292}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:32:02.269Z,podium,"{""timeOnPage"": 30, ""totalTime"": 401}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:32:18.584Z,podium,"{""timeOnPage"": 60, ""totalTime"": 298}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:32:18.637Z,podium,"{""timeOnPage"": 60, ""totalTime"": 1142}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:32:27.790Z,podium,"{""timeOnPage"": 30, ""totalTime"": 322}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:32:32.275Z,podium,"{""timeOnPage"": 30, ""totalTime"": 431}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:32:57.913Z,podium,"{""timeOnPage"": 30, ""totalTime"": 352}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:33:02.296Z,podium,"{""timeOnPage"": 30, ""totalTime"": 462}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:33:18.539Z,podium,"{""timeOnPage"": 60, ""totalTime"": 357}"
